City ID,weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,main.sea_level,main.grnd_level,wind.gust,rain.3h,snow.3h,rain.1h,snow.1h
0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,24140.0,1581187681,-18000,6096551,Pangnirtung,200,-65.71,66.15,-23.8,-33.38,-23.8,-23.8,991,74,4.56,273.0,20,1.0,968.0,CA,1581166618,1581193027,,,,,,,
1,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,,1581187681,7200,701792,Markivka,200,39.57,49.52,14.77,3.83,14.77,14.77,1024,82,9.22,17.0,100,,,UA,1581137073,1581172035,1024.0,1004.0,,,,,
2,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,16093.0,1581187430,-36000,5848280,Kapaa,200,-159.32,22.08,66.81,63.45,64.99,69.8,1013,63,8.05,330.0,20,1.0,7873.0,US,1581181966,1581222614,,,,,,,
3,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,,1581187681,39600,2126199,Cherskiy,200,161.3,68.75,-32.13,-41.01,-32.13,-32.13,1033,75,3.2,149.0,95,,,RU,1581199816,1581223667,1033.0,1032.0,,,,,
4,"[{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09n'}]",stations,10000.0,1581187618,14400,933995,Souillac,200,57.52,-20.52,76.14,79.18,75.0,77.0,1015,88,10.29,130.0,75,1.0,2061.0,MU,1581127023,1581173470,,,,,,,
5,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",model,,1581187681,-10800,3421193,Paamiut,200,-49.67,61.99,9.66,-3.75,9.66,9.66,963,67,12.68,352.0,96,,,GL,1581161192,1581190753,963.0,951.0,,,,,
6,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,,1581187681,39600,2171099,Codrington,200,141.97,-38.27,64.94,57.65,64.94,64.94,1019,84,18.75,95.0,0,,,AU,1581191589,1581241172,1019.0,1018.0,,,,,
7,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000.0,1581187681,-21600,3652764,Puerto Ayora,200,-90.35,-0.74,84.2,83.89,84.2,84.2,1013,70,17.22,100.0,20,1.0,8521.0,EC,1581163882,1581207591,,,,,,,
8,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,,1581187619,7200,1015776,Bredasdorp,200,20.04,-34.53,69.89,69.53,69.8,70.0,1014,77,8.05,180.0,37,1.0,1966.0,ZA,1581134804,1581183679,,,,,,,
9,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,10000.0,1581187681,7200,3369157,Cape Town,200,18.42,-33.93,69.04,66.43,64.0,75.0,1013,82,12.75,220.0,50,1.0,1899.0,ZA,1581135254,1581184007,,,,,,,
10,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1581187502,39600,2163355,Hobart,200,147.33,-42.88,55.65,51.82,53.01,57.2,1030,67,4.7,90.0,90,1.0,9545.0,AU,1581189752,1581240437,,,,,,,
11,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,10000.0,1581187433,28800,1819729,Hong Kong,200,114.16,22.29,60.42,52.74,57.99,62.6,1026,63,12.75,40.0,40,1.0,9154.0,HK,1581202739,1581243372,,,,,,,
12,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1581187619,32400,2014624,Udachny,200,112.4,66.42,1.4,-8.77,1.4,1.4,1001,84,6.71,270.0,90,1.0,8846.0,RU,1581210284,1581236672,,,,,,,
13,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,16093.0,1581187682,-32400,5880054,Barrow,200,-156.79,71.29,-36.4,-46.12,-36.4,-36.4,1014,98,4.7,270.0,1,1.0,7649.0,US,1581191654,1581211711,,,,,,,
14,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,10000.0,1581187682,46800,4032243,Vaini,200,-175.2,-21.2,78.8,86.41,78.8,78.8,1011,94,6.93,110.0,20,1.0,7285.0,TO,1581269281,1581315727,,,,,,,
15,"[{'id': 502, 'main': 'Rain', 'description': 'heavy intensity rain', 'icon': '10n'}]",stations,8000.0,1581187682,0,2649089,Gardenstown,200,-2.34,57.67,43.9,23.23,39.99,46.4,991,81,32.21,180.0,40,1.0,1440.0,GB,1581148671,1581180555,,,44.96,,,,
16,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1581187682,-10800,3423146,Ilulissat,200,-51.1,69.22,6.8,-2.16,6.8,6.8,971,71,4.7,140.0,75,1.0,165.0,GL,1581164803,1581187829,,,,,,,
17,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,,1581187682,7200,86049,Jalu,200,21.55,29.03,56.12,49.77,56.12,56.12,1029,50,6.6,328.0,1,,,LY,1581139119,1581178639,1029.0,1022.0,,,,,
18,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",model,,1581187682,-18000,3933104,Pangoa,200,-73.0,-12.12,76.26,85.86,76.26,76.26,1012,94,0.74,157.0,99,,,PE,1581158964,1581204181,1012.0,947.0,,3.56,,,
19,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1581187682,-14400,3663529,Manacapuru,200,-60.62,-3.3,87.8,92.12,87.8,87.8,1011,58,6.93,320.0,75,1.0,8356.0,BR,1581156580,1581200622,,,,,,,
