,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Klaksvik,100,FO,1580239795,100,62.23,-6.59,30.2,1.12
1,Muli,0,MV,1580239795,75,2.92,73.57,81.07,15.77
2,Suhaia,20,RO,1580239795,86,43.73,25.25,41.0,2.24
3,Coelho Neto,51,BR,1580239795,84,-4.26,-43.01,85.19,3.85
4,Abu Samrah,98,SY,1580239606,76,35.3,37.18,49.95,6.78
5,Bluff,86,NZ,1580239228,80,-46.6,168.33,61.0,5.77
6,Rikitea,100,PF,1580239235,79,-23.12,-134.97,79.0,11.34
7,Lompoc,1,US,1580239238,51,34.64,-120.46,71.01,12.75
8,Chinsali,62,ZM,1580239796,95,-10.54,32.08,66.92,4.5
9,Barrow,1,US,1580239249,67,71.29,-156.79,-27.4,4.7
10,Punta Arenas,40,CL,1580239338,50,-53.15,-70.92,53.6,33.33
11,Salihli,0,TR,1580239796,82,38.48,28.15,47.1,3.47
12,Kirakira,86,SB,1580239299,84,-10.45,161.92,77.52,2.57
13,Oxford,20,GB,1580239500,100,51.75,-1.26,39.2,8.05
14,Usinsk,20,RU,1580239796,98,65.99,57.53,-22.79,6.98
15,Mitchell,90,US,1580239645,92,43.71,-98.03,26.6,5.82
16,Yulara,0,AU,1580239797,18,-25.24,130.99,84.2,10.29
17,Busselton,11,AU,1580239539,53,-33.65,115.33,66.0,5.97
18,Carnarvon,0,AU,1580239553,88,-24.87,113.63,77.0,20.8
19,Mar del Plata,11,AR,1580239554,28,-38.0,-57.56,91.99,26.4
20,Vaini,75,TO,1580239159,100,-21.2,-175.2,77.0,1.12
21,Albany,90,US,1580239164,59,42.6,-73.97,37.0,16.11
22,Tasiilaq,75,GL,1580239550,54,65.61,-37.64,28.4,2.24
23,Mosetse,55,BW,1580239797,44,-20.75,26.65,82.33,13.71
24,Ginir,67,ET,1580239797,90,7.13,40.7,59.43,0.69
25,Ushuaia,75,AR,1580239160,81,-54.8,-68.3,48.2,29.97
