City ID,weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,rain.3h,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,main.sea_level,main.grnd_level,wind.gust,rain.1h,snow.3h,snow.1h
0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,10000.0,1581138023,46800,2179537,Wellington,200,174.78,-41.29,62.6,51.94,62.6,62.6,1016,72,20.8,170.0,0.63,75,1.0,7358.0,NZ,1581096879,1581147326,,,,,,
1,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,,1581138290,0,2455290,Kidal,200,1.41,18.44,61.43,47.55,61.43,61.43,1019,25,16.73,86.0,,0,,,ML,1581143139,1581184287,1019.0,962.0,,,,
2,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,16093.0,1581138291,-32400,5866583,Kodiak,200,-152.41,57.79,35.6,29.61,35.6,35.6,1008,74,3.36,170.0,,90,1.0,7668.0,US,1581098396,1581130060,,,,,,
3,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",model,,1581138291,18000,1514792,Gazojak,200,61.4,41.19,55.67,45.19,55.67,55.67,1007,37,11.72,199.0,,0,,,TM,1581130737,1581167892,1007.0,991.0,,,,
4,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",model,,1581138291,36000,2120048,Ust-Nera,200,143.2,64.57,-34.8,-42.83,-34.8,-34.8,1032,100,1.72,225.0,,32,,,RU,1581115922,1581143442,1032.0,900.0,,,,
5,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1581138291,3600,2980915,Arrondissement de Saint-Denis,200,2.33,48.92,47.23,40.48,45.0,48.2,1019,76,8.05,150.0,,90,1.0,6540.0,FR,1581145909,1581181075,,,,,,
6,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,,1581138291,-10800,3471451,Arraial do Cabo,200,-42.03,-22.97,76.06,76.06,76.06,76.06,1013,85,14.65,60.0,,0,,,BR,1581150735,1581197544,1013.0,1013.0,,,,
7,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",model,,1581138292,3600,218680,Boende,200,20.87,-0.22,75.34,83.35,75.34,75.34,1011,87,0.43,194.0,1.19,51,,,CD,1581137222,1581180863,1011.0,968.0,,,,
8,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",model,,1581138292,25200,1489401,Toora-Khem,200,96.11,52.47,18.3,10.99,18.3,18.3,1028,81,3.13,127.0,,99,,,RU,1581124010,1581157958,1028.0,892.0,,,,
9,"[{'id': 620, 'main': 'Snow', 'description': 'light shower snow', 'icon': '13d'}]",stations,8000.0,1581138292,10800,583811,Akhtanizovskaya,200,37.1,45.32,23.0,10.22,23.0,23.0,1016,79,13.42,10.0,,75,1.0,8962.0,RU,1581137068,1581173226,,,,,,
10,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,6000.0,1581138293,3600,3107765,Torrelodones,200,-3.93,40.58,41.59,38.7,37.99,45.0,1023,93,1.12,,,75,1.0,6421.0,ES,1581146336,1581183654,,,,,,
11,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,16093.0,1581138293,-18000,5282297,Bethel,200,-73.41,41.37,30.18,12.29,25.0,33.8,1006,68,23.04,300.0,,75,1.0,5951.0,US,1581163086,1581200255,,,32.21,,,
12,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1581138001,39600,2163355,Hobart,200,147.33,-42.88,62.76,55.49,57.99,66.99,1031,55,11.41,110.0,,75,1.0,9545.0,AU,1581103269,1581154112,,,,,,
13,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,,1581138294,-32400,4030556,Rikitea,200,-134.97,-23.12,78.53,76.24,78.53,78.53,1020,78,18.59,109.0,,100,,,PF,1581086599,1581133484,1020.0,1020.0,,,,
14,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",model,,1581138294,36000,2017658,Preobrazheniye,200,133.91,42.9,15.49,5.9,15.49,15.49,1024,35,5.37,350.0,,0,,,RU,1581113550,1581150274,1024.0,984.0,,,,
15,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,10000.0,1581138294,-10800,3899539,Antofagasta,200,-70.4,-23.65,64.4,61.54,64.4,64.4,1014,88,11.41,200.0,,20,1.0,8488.0,CL,1581157493,1581204404,,,,,,
16,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000.0,1581138295,34200,6355222,Yulara,200,130.99,-25.24,100.4,93.45,100.4,100.4,1010,9,5.82,80.0,,50,1.0,9487.0,AU,1581109007,1581156218,,,17.22,,,
17,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,,1581138295,7200,1015776,Bredasdorp,200,20.04,-34.53,67.05,65.84,66.2,68.0,1014,88,10.29,140.0,0.13,46,1.0,1966.0,ZA,1581134804,1581183679,,,23.04,,,
18,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,,1581138295,-14400,3831208,Qaanaaq,200,-69.36,77.48,-30.5,-37.91,-30.5,-30.5,997,74,0.63,340.0,,0,,,GL,0,0,997.0,955.0,,,,
19,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",model,,1581138295,-34200,4020109,Atuona,200,-139.03,-9.8,81.79,80.56,81.79,81.79,1012,75,18.61,74.0,,17,,,PF,1581088554,1581133479,1012.0,1011.0,,,,
20,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,,1581138296,28800,2075265,Busselton,200,115.33,-33.65,88.3,79.97,84.99,91.0,1001,33,17.85,278.0,,0,3.0,2011706.0,AU,1581112007,1581160735,,,,,,
21,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1581138051,7200,3369157,Cape Town,200,18.42,-33.93,63.91,62.67,60.01,69.01,1012,82,6.93,260.0,,0,1.0,1899.0,ZA,1581135254,1581184007,,,,,,
